
2024/12/01 (19:18:23) | ===> btop++ v.1.4.0
2024/12/01 (19:18:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/01 (19:18:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/01 (20:03:18) | ===> btop++ v.1.4.0
2024/12/01 (20:03:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/01 (20:03:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/02 (22:20:57) | ===> btop++ v.1.4.0
2024/12/02 (22:20:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/02 (22:20:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/03 (14:16:47) | ===> btop++ v.1.4.0
2024/12/03 (14:16:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/03 (14:16:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/03 (21:15:02) | ===> btop++ v.1.4.0
2024/12/03 (21:15:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/03 (21:15:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/03 (23:12:25) | ===> btop++ v.1.4.0
2024/12/03 (23:12:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/03 (23:12:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/03 (23:22:46) | ===> btop++ v.1.4.0
2024/12/03 (23:22:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/03 (23:22:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/03 (23:37:04) | ===> btop++ v.1.4.0
2024/12/03 (23:37:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/03 (23:37:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/03 (23:49:19) | ===> btop++ v.1.4.0
2024/12/03 (23:49:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/03 (23:49:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/04 (00:35:51) | ===> btop++ v.1.4.0
2024/12/04 (00:35:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/04 (00:35:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/04 (00:52:15) | ===> btop++ v.1.4.0
2024/12/04 (00:52:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/04 (00:52:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/04 (01:14:09) | ===> btop++ v.1.4.0
2024/12/04 (01:14:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/04 (01:14:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

