
2024/06/24 (20:12:00) | ===> btop++ v.1.3.2
2024/06/24 (20:12:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (20:54:06) | ===> btop++ v.1.3.2
2024/06/28 (20:54:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (11:38:17) | ===> btop++ v.1.3.2
2024/07/29 (11:38:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (11:42:09) | ===> btop++ v.1.3.2
2024/07/29 (11:42:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (15:49:26) | ===> btop++ v.1.3.2
2024/07/29 (15:49:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (15:50:42) | ===> btop++ v.1.3.2
2024/07/29 (15:50:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (16:00:20) | ===> btop++ v.1.3.2
2024/07/29 (16:00:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (16:00:40) | ===> btop++ v.1.3.2
2024/07/29 (16:00:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (17:01:00) | ===> btop++ v.1.3.2
2024/07/29 (17:01:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (17:01:46) | ===> btop++ v.1.3.2
2024/07/29 (17:01:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (17:02:10) | ===> btop++ v.1.3.2
2024/07/29 (17:02:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (17:41:07) | ===> btop++ v.1.3.2
2024/07/29 (17:41:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (17:41:46) | ===> btop++ v.1.3.2
2024/07/29 (17:41:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (17:44:10) | ===> btop++ v.1.3.2
2024/07/29 (17:44:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (17:45:26) | ===> btop++ v.1.3.2
2024/07/29 (17:45:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (17:45:39) | ===> btop++ v.1.3.2
2024/07/29 (17:45:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (18:11:42) | ===> btop++ v.1.3.2
2024/07/29 (18:11:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (18:12:09) | ===> btop++ v.1.3.2
2024/07/29 (18:12:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/29 (18:46:01) | ===> btop++ v.1.3.2
2024/07/29 (18:46:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (16:32:07) | ===> btop++ v.1.3.2
2024/07/30 (16:32:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (18:43:06) | ===> btop++ v.1.3.2
2024/07/30 (18:43:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (22:15:10) | ===> btop++ v.1.3.2
2024/07/30 (22:15:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (22:17:13) | ===> btop++ v.1.3.2
2024/07/30 (22:17:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/30 (22:19:42) | ===> btop++ v.1.3.2
2024/07/30 (22:19:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (00:48:02) | ===> btop++ v.1.3.2
2024/07/31 (00:48:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/31 (20:51:23) | ===> btop++ v.1.3.2
2024/07/31 (20:51:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (18:15:07) | ===> btop++ v.1.3.2
2024/08/01 (18:15:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/01 (18:26:23) | ===> btop++ v.1.3.2
2024/08/01 (18:26:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (11:09:25) | ===> btop++ v.1.3.2
2024/08/02 (11:09:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (12:42:47) | ===> btop++ v.1.3.2
2024/08/02 (12:42:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (12:43:27) | ===> btop++ v.1.3.2
2024/08/02 (12:43:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/02 (12:43:36) | ===> btop++ v.1.3.2
2024/08/02 (12:43:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/19 (18:15:57) | ===> btop++ v.1.3.2
2024/08/19 (18:15:57) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/08/19 (18:15:59) | ===> btop++ v.1.3.2
2024/08/19 (18:15:59) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2024/09/05 (18:12:32) | ===> btop++ v.1.3.2
2024/09/05 (18:12:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/05 (18:12:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/05 (18:13:07) | ===> btop++ v.1.3.2
2024/09/05 (18:13:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/05 (18:13:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/05 (18:13:30) | ===> btop++ v.1.3.2
2024/09/05 (18:13:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/05 (18:13:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/05 (22:17:19) | ===> btop++ v.1.3.2
2024/09/05 (22:17:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/05 (22:17:19) | WARNING: ROCm SMI: Failed to get PCIe throughput
